doi	title	publisher	publicationYear
10.5285/75f2072e-f708-46d8-baff-0c6d02d81ede	Mortality data for a population of banded mongooses (Mungos mungo) in Mweya, Uganda, 2000-2011	NERC EDS Environmental Information Data Centre	2023
10.5285/9156d263-4def-406d-bdc9-22a6821fe755	Plant aboveground net primary productivity estimates (2021) and litter layer depth measurements (2018-2019) at five long-term grassland-to-woodland land use contrasts across England	NERC EDS Environmental Information Data Centre	2023
10.5285/5d0f211e-d391-4861-8f12-e04a65108ae7	Hydraulic properties of peat extracted from Rensjön palsa mire, Sweden, July 2022	NERC EDS Environmental Information Data Centre	2023
10.5285/65b23264-2991-4ce2-83e7-7729a3947d75	Biodiversity and environmental conditions along public walking routes in three UK towns (Bedford, Luton and Milton Keynes), 2014	NERC EDS Environmental Information Data Centre	2023
10.5285/c3527258-c9ab-40d9-af0c-ddedabbd67a1	Greenhouse gas and water chemistry measurements for the Clyde river, tributaries and estuary, 2021-2022	NERC EDS Environmental Information Data Centre	2023
10.5285/3d3b1d09-9e7a-4144-b8a1-b09a3c573466	 Plot-level forest structure, carbon density and tree species richness data from restoration sites in South and Southeast Asia	NERC EDS Environmental Information Data Centre	2023
10.5285/2636c7e1-ec8c-4b77-9f4e-f731781191ca	Earthworm species identification and counts at three long-term grassland-to-woodland land use contrasts across England	NERC EDS Environmental Information Data Centre	2023
10.5285/a22b495e-b2cd-43cd-95b7-8712b64dc0da	Physico-chemical water properties and greenhouse gas measurements along a longitudinal estuary transect, Clyde estuary, Scotland, 2020-2022	NERC EDS Environmental Information Data Centre	2023
10.5285/8a2451f8-7999-47c4-9e2a-8e9567377ffb	Soil physical, chemical, and biological properties (0-1 m) at five long-term grassland-to-woodland land use contrasts across England, 2018-2019	NERC EDS Environmental Information Data Centre	2023
10.25326/603	Trace gases, Zoétélé, Cameroon	Aeris	2023
10.25326/642	Trace gases, Mbita, Kenya	Aeris	2023
10.25326/275	Trace gases, Lamto, Côte d'Ivoire	Aeris	2023
10.25326/604	Trace gases, Katigoubou, Mali	Aeris	2023
10.25326/605	Trace gases, Djougou, Benin	Aeris	2023
10.25326/606	Trace gases, Dahra, Senegal	Aeris	2023
10.25326/607	Trace gases, Bomassa, Congo	Aeris	2023
10.25326/608	Trace gases, Banizoumbou, Niger	Aeris	2023
10.25326/609	Trace gases, Bambey, Senegal	Aeris	2023
10.25326/610	Trace gases, Agoufou, Mali	Aeris	2023
10.25326/585	PM10 Mineral Analysis, Banizoumbou, Niger	Aeris	2023
10.25326/592	PM10 EC/OC Analysis, Zoétélé, Cameroon	Aeris	2023
10.25349/d97p6w	Reinvasion of restored California vernal pools reveals the importance of long‐term restoration planning	Dryad	2023
10.11582/2023.00113	Rock mechanics data for 31/5-7 Eos well core	NIRD RDA	2023
10.25907/00782	Data from: Incomplete sterol biosynthesis pathways and highly duplicated haem peroxidases revealed in Rhodophyte algae using multi-omics resource	University of the Sunshine Coast	2023
10.25907/00790	Working with Adult-Child Survivors of Severe Parental Alienation Abuse: Survivors and Mental Health Practitioners' Perspectives: A Qualitative Study [Data Notes]	University of the Sunshine Coast	2023
10.5281/zenodo.7642885	"Unit cells and resummed interactions for the calculations in ""Systematic Analysis of Crystalline Phases in Bosonic Lattice Models with Algebraically Decaying Density-Density Interactions"""	Zenodo	2023
10.5281/zenodo.7642884	"Unit cells and resummed interactions for the calculations in ""Systematic Analysis of Crystalline Phases in Bosonic Lattice Models with Algebraically Decaying Density-Density Interactions"""	Zenodo	2023
10.34810/data596	Plasma metabolomics of the human aging	CORA.Repositori de Dades de Recerca	2023
10.34810/data897	"Replication package for ""Visual vs text communication to dispel a rent-control misconception"""	CORA.Repositori de Dades de Recerca	2023
10.34810/data706	Replication Data for Fig. 4-5 of: Assessment of trunk flexion in arm reaching tasks with electromyography and smartphone accelerometry in healthy human subjects	CORA.Repositori de Dades de Recerca	2023
10.5281/zenodo.10439228	Survey on policies for innovation in the Global South, 2022.	Zenodo	2023
10.1594/pangaea.963469	Global marine radiocarbon data compilation for the last deglaciation, spline dataset	PANGAEA	2023
